"","PC1","PC2"
"TCGA.KK.A8IH.01A.11R.A36G.07",119.32757683163,-48.8694189597317
"TCGA.HI.7171.01A.12R.2118.07",392.094472034211,-37.3735190521256
"TCGA.G9.6333.01A.12R.1965.07",454.927654094715,-86.550870874959
"TCGA.KK.A7AP.01A.12R.A33R.07",11.1191196928123,1312.13629352509
"TCGA.EJ.7312.01B.21R.A32O.07",-176.118088391728,-102.695259543519
"TCGA.XJ.A83F.01A.11R.A352.07",-445.947682608787,-57.3979359984367
"TCGA.CH.5761.01A.11R.1580.07",1048.32535665323,-61.4426166467865
"TCGA.HC.8265.01A.11R.2263.07",-23.6293557315189,-50.1622838170136
"TCGA.HC.7077.01A.11R.1965.07",652.946116732335,-61.5877831173859
"TCGA.KC.A7F6.01A.11R.A33R.07",-15.9119727915234,-28.7073046994805
"TCGA.KK.A8IM.01A.11R.A36G.07",471.158986392027,-32.4490672897197
"TCGA.XJ.A9DI.01A.11R.A37L.07",86.5104680785076,-34.8246126883193
"TCGA.YL.A8HJ.01A.11R.A36G.07",198.979422826685,-49.3991549533533
"TCGA.QU.A6IM.01A.11R.A31N.07",-2885.42800664263,-19.6703309747516
"TCGA.HC.8213.01A.11R.A29R.07",-299.316014472249,-38.3680437787083
"TCGA.CH.5743.01A.21R.1580.07",332.904841253279,-54.6742452601206
"TCGA.HC.7736.01A.11R.2118.07",661.209174695565,-55.6133263708176
"TCGA.XK.AAJA.01A.11R.A41O.07",686.747108794847,-74.750949475077
"TCGA.J4.A67M.01A.11R.A30B.07",-1026.78545552192,-30.170670501005
"TCGA.HC.8258.01A.11R.2263.07",285.825700780674,-71.2670629619662
"TCGA.HC.7819.01A.11R.2118.07",503.053475067474,-64.5172454902453
"TCGA.EJ.A6RC.01A.11R.A32O.07",33.9372925244712,-64.6809219911734
"TCGA.J4.A6G1.01A.11R.A311.07",14.0711187493391,-31.5586536720437
"TCGA.EJ.A7NJ.01A.22R.A352.07",563.004108872499,-90.7503463740934
"TCGA.EJ.5503.01A.01R.1580.07",596.657024923901,-75.551762339494
"TCGA.EJ.A8FS.01A.11R.A352.07",224.359597166489,-41.5534811362987
"TCGA.EJ.7125.01A.11R.1965.07",481.584956080601,-68.3636560260171
"TCGA.G9.6385.01A.11R.1789.07",186.137098828298,-68.8689103346436
"TCGA.HC.A632.01A.11R.A29R.07",-443.560809509932,-5.37899521183514
"TCGA.V1.A9OH.01A.11R.A41O.07",-110.468084373689,472.188370485862
"TCGA.HC.A8D1.01A.11R.A36G.07",341.196440657139,-45.9722178778726
"TCGA.HC.8262.01A.11R.2263.07",237.772393185305,-34.6926182355987
"TCGA.KC.A7F3.01A.21R.A33R.07",-81.0640971694693,-52.5323088646269
"TCGA.KK.A7AQ.01A.11R.A33R.07",-621.3216525269,-89.5343120444797
"TCGA.G9.6351.01A.21R.1965.07",249.088236171698,-90.5031637137893
"TCGA.YL.A8SI.01A.11R.A41O.07",-162.721129748303,-58.0426317746392
"TCGA.CH.5740.01A.11R.1580.07",322.033473003745,-36.2215239695095
"TCGA.YL.A8S8.01A.11R.A37L.07",44.1955452197779,-26.9568999612542
"TCGA.EJ.A8FU.01A.11R.A36G.07",303.280056815901,130.944350081935
"TCGA.VP.A876.01A.11R.A352.07",19.3789156138111,-17.5221241229266
"TCGA.XJ.A83H.01A.11R.A352.07",204.343456436711,-61.0981398460548
"TCGA.XK.AAIV.01A.11R.A41O.07",575.864331678742,-35.8496803226426
"TCGA.EJ.7797.01A.11R.2263.07",403.102419279042,-46.3842135855248
"TCGA.M7.A721.01A.12R.A32O.07",411.994042281681,-83.5997151027893
"TCGA.KK.A8I7.01A.21R.A36G.07",227.718967902499,-68.5946720179797
"TCGA.ZG.A8QX.01A.11R.A37L.07",180.482749047277,-118.662267201564
"TCGA.J4.A83I.01A.11R.A36G.07",616.950283543299,-46.4565983870844
"TCGA.Y6.A8TL.01A.21R.A37L.07",-141.605628377442,-64.2459237193059
"TCGA.HC.7748.01A.11R.2118.07",856.908235646949,-55.7247777833429
"TCGA.CH.5763.01A.11R.1580.07",530.217596868084,-49.891551248918
"TCGA.EJ.5524.01A.01R.1580.07",752.913870772021,-54.1835452226573
"TCGA.G9.6370.01A.11R.1789.07",278.972487391993,-73.938993916265
"TCGA.ZG.A9L2.01A.31R.A41O.07",123.042486552147,-45.7345255669061
"TCGA.HC.7749.01A.11R.2118.07",410.485404149109,-43.312317185651
"TCGA.EJ.5496.01A.01R.1580.07",435.128025276317,-41.6832121347351
"TCGA.KK.A7B1.01A.11R.A32O.07",263.473319823321,-48.875657495334
"TCGA.G9.A9S7.01A.11R.A41O.07",258.015363251873,-33.5000269271325
"TCGA.KK.A59Y.01A.11R.A26U.07",310.645460274061,-61.4188458409379
"TCGA.EJ.7782.01A.11R.2118.07",926.011302450212,-68.0069555579173
"TCGA.KC.A4BR.01A.32R.A32Y.07",113.789543335086,-63.0166166727852
"TCGA.G9.7519.01A.11R.2263.07",77.7575253105776,-76.8757543727863
"TCGA.ZG.A9NI.01A.11R.A41O.07",-692.030817427242,-65.9946343296442
"TCGA.G9.6348.01A.11R.1789.07",-98.7103772129689,330.364669630149
"TCGA.KK.A8IB.01A.11R.A36G.07",-901.41488333525,-27.9671513393989
"TCGA.G9.6329.01A.13R.1965.07",-623.891019397611,-51.5003087481993
"TCGA.CH.5788.01A.11R.1580.07",351.266319138435,-56.9708574525845
"TCGA.V1.A9O7.01A.21R.A41O.07",96.8340108999435,-59.6586606307877
"TCGA.EJ.7123.01A.11R.1965.07",411.517008134269,-68.5702867208303
"TCGA.G9.6353.01A.11R.1965.07",246.29872199256,-115.146818761121
"TCGA.VN.A88Q.01A.11R.A352.07",436.223573714715,-29.5723917281708
"TCGA.CH.5753.01A.11R.1580.07",620.163679487934,1138.26233612338
"TCGA.V1.A9ZI.01A.11R.A41O.07",-3758.6643096317,84.8561588693134
"TCGA.HC.7821.01A.12R.2118.07",706.335769006291,-77.4340980153899
"TCGA.G9.6339.01A.12R.A311.07",-303.805944207288,87.2242376389654
"TCGA.CH.5771.01A.21R.1580.07",634.232327707273,-66.1709394791667
"TCGA.CH.5789.01A.11R.1580.07",787.730701820698,-85.0341262590176
"TCGA.KK.A6E3.01A.21R.A30B.07",-601.688206850924,-95.3389540660365
"TCGA.XK.AAJR.01A.11R.A41O.07",653.463284709663,-69.5612480605164
"TCGA.HC.A8CY.01A.11R.A36G.07",73.7595011806614,1325.68770070429
"TCGA.EJ.5494.01A.01R.1580.07",563.082902435869,-43.8346597235288
"TCGA.EJ.A65G.01A.21R.A29R.07",-90.8031920627723,-74.0174784372638
"TCGA.EJ.A46H.01A.31R.A26U.07",754.144699854513,-71.0178511994152
"TCGA.VN.A88K.01A.11R.A352.07",295.192949689806,-64.2457173238118
"TCGA.CH.5792.01A.11R.1580.07",599.958267559247,-60.0543623915068
"TCGA.M7.A71Y.01A.22R.A32O.07",-71.3290729780154,540.099917044034
"TCGA.M7.A720.01A.12R.A32O.07",187.188645840983,-50.1684182023786
"TCGA.CH.5750.01A.11R.1580.07",451.374366175555,434.553092658977
"TCGA.ZG.A9L1.01A.11R.A41O.07",274.994489487305,-29.8436056462199
"TCGA.HC.A76W.01A.11R.A33R.07",-635.279467145591,-21.0009072498209
"TCGA.HC.7742.01A.11R.2118.07",467.361611138343,-68.9339496663093
"TCGA.HC.7212.01A.11R.2118.07",722.798036220873,-39.737517357707
"TCGA.CH.5791.01A.11R.1580.07",645.237977695398,-28.302458894754
"TCGA.HI.7170.01A.11R.2118.07",-14.710766699546,-82.7970783028272
"TCGA.EJ.A46D.01A.21R.A32Y.07",137.55570658579,-43.6866460427385
"TCGA.YL.A8HM.01A.11R.A36G.07",-143.43032657728,-21.6421780967855
"TCGA.V1.A9OT.01A.11R.A41O.07",-1646.66279347173,19.0016357178118
"TCGA.YL.A8SR.01B.11R.A37L.07",31.838931910079,-61.2771242419892
"TCGA.V1.A9ZG.01A.11R.A41O.07",335.963114901684,-57.4340029868275
"TCGA.ZG.A9LN.01A.11R.A41O.07",39.6301918895153,-63.9224100097408
"TCGA.EJ.5497.01A.02R.1580.07",736.41925291005,-69.9140765341611
"TCGA.EJ.A7NG.01A.31R.A33R.07",194.244752234745,-49.0268863192774
"TCGA.ZG.A8QY.01A.11R.A37L.07",-132.937283182707,-28.3489594931265
"TCGA.EJ.5507.01A.01R.1580.07",947.704730792153,-86.6185563845523
"TCGA.G9.6379.01A.11R.A31N.07",-1886.08521891552,-27.3372688745436
"TCGA.EJ.A65M.01A.11R.A29R.07",-533.314840498282,-59.9316577765608
"TCGA.YL.A8SL.01B.21R.A37L.07",486.979214477211,-27.927520849168
"TCGA.EJ.A65J.01A.11R.A311.07",709.003265150235,-123.842677604703
"TCGA.J4.8200.01A.11R.A29R.07",460.570305000141,-95.5267946085508
"TCGA.FC.7708.01A.11R.2118.07",627.046963056056,-45.4454498120847
"TCGA.EJ.5530.01A.01R.1580.07",744.326413216871,-46.2932878446614
"TCGA.J4.A67S.01A.11R.A30B.07",-591.135540404288,-47.5221959543979
"TCGA.FC.A8O0.01A.41R.A37L.07",-184.254072685769,-10.709978356
"TCGA.FC.A6HD.01A.11R.A31N.07",-1897.57278519693,25.4746999509492
"TCGA.G9.7510.01A.11R.2263.07",98.1172808673245,-73.5393336389542
"TCGA.CH.5772.01A.11R.1580.07",354.842156226774,-63.5988701716941
"TCGA.MG.AAMC.01A.11R.A41O.07",-646.730942562666,-25.2988973262263
"TCGA.KK.A8I6.01A.11R.A36G.07",400.680104273922,-64.8993617774533
"TCGA.M7.A725.01A.12R.A32O.07",119.202228917003,-11.2745639319912
"TCGA.HC.7075.01A.11R.1965.07",417.766048074523,-64.1428734016156
"TCGA.HC.7233.01A.11R.2118.07",514.833546669613,-62.0472175442085
"TCGA.CH.5794.01A.11R.1580.07",662.118290404734,-53.5519264629507
"TCGA.HC.7744.01A.11R.2118.07",322.62071651348,-25.2054838889785
"TCGA.XQ.A8TB.01A.11R.A36G.07",129.181243209333,-9.99812023607891
"TCGA.EJ.8470.01A.11R.2403.07",582.389234131386,-45.5289865047887
"TCGA.VN.A88M.01A.11R.A352.07",-919.21542810085,-8.75730462310499
"TCGA.J4.8198.01A.11R.2263.07",305.27385477249,-34.0630033156338
"TCGA.HC.7747.01A.11R.2118.07",60.6215683674979,-55.8405028253991
"TCGA.HC.A8D0.01A.11R.A36G.07",-282.627657715651,-18.028233486855
"TCGA.G9.6347.01A.11R.A31N.07",-2055.36944449192,-74.6274915374526
"TCGA.HC.A6AP.01A.11R.A30B.07",-797.502451890176,-86.5393519662246
"TCGA.VN.A943.01A.11R.A41O.07",189.325049480749,-55.0539311765857
"TCGA.J4.A67R.01A.21R.A30B.07",-856.174837131059,-55.3380423295305
"TCGA.KK.A8IL.01A.11R.A36G.07",105.159236149658,-49.5886683687086
"TCGA.V1.A8WW.01A.11R.A37L.07",533.78187309771,-57.4539997746845
"TCGA.HC.7745.01A.11R.2118.07",184.854871317807,-47.0405639685765
"TCGA.HC.A48F.01A.11R.A250.07",440.737733276414,-43.3172911302732
"TCGA.ZG.A9L9.01A.11R.A41O.07",135.040533149752,-70.6736020661974
"TCGA.HC.7230.01A.11R.2118.07",487.490921650577,-49.6492675008071
"TCGA.XJ.A9DQ.01A.11R.A37L.07",-54.3643894189361,-39.6487687193099
"TCGA.CH.5754.01A.11R.1580.07",635.633571399935,-27.9889310547845
"TCGA.XA.A8JR.01A.11R.A36G.07",109.775282998372,-60.2039474407553
"TCGA.V1.A8MF.01A.11R.A36G.07",-1518.61116450508,7.5131560195043
"TCGA.H9.A6BY.01A.11R.A30B.07",-1556.13894614246,1.45946793415842
"TCGA.X4.A8KS.01A.12R.A36G.07",-980.582645187886,-33.7576698624472
"TCGA.M7.A724.01A.12R.A32O.07",-407.221831117821,-31.2788061338534
"TCGA.HC.7738.01A.11R.2118.07",383.468489093873,-71.1699218560395
"TCGA.EJ.7327.01A.11R.2118.07",779.98887028057,-28.2647796626075
"TCGA.V1.A9ZR.01A.11R.A41O.07",-218.549626884576,-10.3471423900851
"TCGA.KK.A7B4.01A.11R.A32O.07",239.36530413487,-32.4956774989141
"TCGA.J9.A8CK.01A.11R.A352.07",-49.7006239169677,-33.8239696011383
"TCGA.V1.A8MM.01A.11R.A37L.07",-2057.25054774784,20.1548791713053
"TCGA.HC.A631.01A.11R.A29R.07",304.197415304729,674.746200669587
"TCGA.V1.A8WV.01A.11R.A37L.07",-958.536082840325,23.5406251203395
"TCGA.FC.A66V.01A.21R.A30B.07",-784.399545306576,-68.8610620795749
"TCGA.VP.A878.01A.31R.A352.07",130.267092002508,-67.5710610179272
"TCGA.KK.A6E1.01A.11R.A311.07",843.822980671173,-70.7450426849234
"TCGA.HC.A6AO.01A.11R.A30B.07",-2500.40566597308,-11.6613437190476
"TCGA.H9.A6BX.01A.31R.A311.07",325.17856690112,-74.4644892010363
"TCGA.KK.A8IJ.01A.11R.A352.07",512.322435249886,-65.2808782654129
"TCGA.HC.7213.01A.11R.2118.07",508.920672412707,-19.9644376380686
"TCGA.XK.AAIW.01A.11R.A41O.07",-53.5725928158763,15.5256205756149
"TCGA.EJ.5514.01A.01R.1580.07",643.501106918228,-46.9411719881797
"TCGA.KK.A7AW.01A.11R.A32O.07",-3294.17028830795,38.2636283451382
"TCGA.ZG.A9L4.01A.11R.A41O.07",294.016796819479,-56.2522194307927
"TCGA.EJ.5531.01A.01R.1580.07",605.511246215349,-77.5789158014966
"TCGA.VN.A88P.01A.11R.A352.07",-66.2979632128695,-52.8732934341897
"TCGA.ZG.A9LS.01A.12R.A41O.07",-5.25817947828818,-29.8070917393052
"TCGA.J4.A67T.01A.11R.A311.07",258.88405173945,-82.3411467937691
"TCGA.KK.A6E0.01A.11R.A311.07",473.104850352812,-80.8065666722467
"TCGA.EJ.A46F.01A.31R.A250.07",-1574.78547112988,19.937654868321
"TCGA.CH.5790.01A.11R.1580.07",573.059181885117,-54.83745123014
"TCGA.EJ.A6RA.01A.11R.A33R.07",-234.472616498051,-50.7502461683826
"TCGA.EJ.7331.01A.11R.2118.07",774.301211664508,-79.9201092414427
"TCGA.YL.A8SQ.01B.11R.A37L.07",-45.1826909139578,-20.9636007389998
"TCGA.XK.AAJT.01A.11R.A41O.07",-514.057707499052,-27.4676832882669
"TCGA.G9.6354.01A.11R.A311.07",-471.069937618087,-46.9234390369488
"TCGA.EJ.5515.01A.01R.1580.07",658.309604810903,-95.7342181595696
"TCGA.EJ.5521.01A.01R.1580.07",100.860340580358,-105.162035601605
"TCGA.VN.A88L.01A.11R.A352.07",71.4697990097754,-74.0549350207091
"TCGA.J4.AATZ.01A.11R.A41O.07",653.904920030306,-50.5635704773662
"TCGA.2A.A8W1.01A.11R.A37L.07",67.9777381918637,437.899982446129
"TCGA.HC.8266.01A.11R.2263.07",3.21968322307186,-29.5957910788518
"TCGA.YL.A9WX.01A.21R.A41O.07",565.841706732709,-48.3589914564246
"TCGA.YL.A8S9.01A.11R.A37L.07",-1545.98238754595,17.1512398449408
"TCGA.KK.A59X.01A.11R.A29R.07",109.548695284275,-69.5728507637052
"TCGA.EJ.7791.01A.11R.2118.07",676.511989426691,-91.0228480009146
"TCGA.VN.A88O.01A.11R.A352.07",135.67140685921,-66.993146548196
"TCGA.EJ.5512.01A.01R.1580.07",51.5728780765197,-56.6495589252741
"TCGA.KK.A8I5.01A.11R.A36G.07",495.928054466217,-64.6507697489614
"TCGA.2A.A8VT.01A.11R.A37L.07",823.678018812881,-30.0284879759216
"TCGA.V1.A8X3.01A.11R.A37L.07",527.460027849397,-51.5427367323927
"TCGA.HC.7211.01A.11R.2118.07",845.597133900194,-75.6477071620264
"TCGA.2A.AAYF.01A.11R.A41O.07",197.002652438086,-65.0933906302045
"TCGA.EJ.5510.01A.01R.1580.07",551.735236227764,61.0433353931432
"TCGA.KK.A6E8.01A.11R.A31N.07",-3190.42683644687,45.9220704044183
"TCGA.HC.7820.01A.11R.2118.07",435.777607660572,-63.3488643381834
"TCGA.QU.A6IP.01A.11R.A31N.07",-87.8876703843153,-41.5678747142978
"TCGA.J4.AATV.01A.11R.A41O.07",266.44482993336,-64.2463346628318
"TCGA.G9.6377.01A.11R.1965.07",-193.388221730629,-55.543914531947
"TCGA.J4.A67O.01A.11R.A30B.07",-2515.23330027715,-68.642112409071
"TCGA.M7.A71Z.01A.12R.A32O.07",-562.382180952661,-5.91561507380578
"TCGA.EJ.8469.01A.11R.2403.07",161.745766851255,-3.10982505390781
"TCGA.KK.A8IF.01A.11R.A36G.07",-2787.34788723854,47.4705214594379
"TCGA.ZG.A9ND.01A.11R.A41O.07",-79.0174342949385,-43.7493591655855
"TCGA.YL.A8SC.01A.11R.A37L.07",705.385142577304,1465.89102643547
"TCGA.V1.A8MK.01A.11R.A36G.07",304.13669790425,-82.5152990834897
"TCGA.HC.7079.01A.11R.1965.07",507.00876077657,-35.2078127939919
"TCGA.CH.5744.01A.11R.1580.07",844.353376574947,-64.3173209722994
"TCGA.HI.7168.01A.11R.2118.07",-184.744302040821,-41.8114316234899
"TCGA.HC.7740.01A.11R.2118.07",445.254706167582,-71.749211596133
"TCGA.EJ.A46E.01A.31R.A250.07",275.860265292807,-47.918482559593
"TCGA.CH.5751.01A.11R.1580.07",340.396556769858,-8.86816702511356
"TCGA.J9.A8CN.01A.11R.A352.07",-1350.38877706488,-27.1416711289846
"TCGA.CH.5769.01A.11R.1580.07",389.653473111832,-45.1902252086803
"TCGA.YL.A8SB.01A.31R.A37L.07",174.360502637837,-50.3128419063572
"TCGA.HC.A6AS.01A.11R.A30B.07",-477.71749423358,138.874405056237
"TCGA.EJ.7786.01A.11R.2118.07",538.079906370123,-83.9814363239837
"TCGA.EJ.7793.01A.31R.2263.07",282.176301911414,-81.6850835071855
"TCGA.HC.8260.01A.11R.2263.07",401.986897354577,-57.5613190168703
"TCGA.EJ.7781.01A.11R.2118.07",730.929145474606,-59.0170813054448
"TCGA.KK.A7AU.01A.11R.A32O.07",51.7303786524998,-13.4358088969621
"TCGA.EJ.5499.01A.01R.1580.07",319.419014932631,-33.6738395215826
"TCGA.J4.AAU2.01A.11R.A41O.07",4.00367693612555,-79.0766236620617
"TCGA.G9.6364.01A.21R.1789.07",550.833861192937,-60.3379505964851
"TCGA.XK.AAK1.01A.11R.A41O.07",-215.743441733407,-60.4376287098836
"TCGA.CH.5741.01A.11R.1580.07",478.986844360592,-44.3587405359281
"TCGA.SU.A7E7.01A.22R.A33R.07",564.828576744356,783.931739016525
"TCGA.CH.5737.01A.11R.1580.07",540.433955446875,-100.858841176374
"TCGA.EJ.7788.01A.11R.2118.07",697.61649909306,1342.12401136513
"TCGA.ZG.A9M4.01A.11R.A41O.07",523.460872614789,155.859230266546
"TCGA.V1.A8WS.01A.11R.A37L.07",277.210953984848,-5.75219827333688
"TCGA.J4.A83K.01A.11R.A352.07",196.413901584891,-47.7560490274165
"TCGA.EJ.7785.01A.11R.2118.07",913.512986878208,-48.9524703314371
"TCGA.J9.A8CM.01A.11R.A352.07",-81.1951468887409,-24.5318130584705
"TCGA.4L.AA1F.01A.11R.A41O.07",514.706046652072,-0.515527050655999
"TCGA.CH.5752.01A.11R.1580.07",737.91876410779,-15.6029901373629
"TCGA.ZG.A8QW.01A.11R.A37L.07",203.568457707101,-65.9042108753991
"TCGA.ZG.A9L6.01A.11R.A41O.07",-18.8908129939373,-63.7065930516522
"TCGA.EJ.5511.01A.01R.1580.07",683.574523587841,-46.3889936309024
"TCGA.VP.A87J.01A.11R.A352.07",774.044750812317,652.154208413647
"TCGA.XJ.A83G.01A.11R.A352.07",-445.028219848175,-74.9353902010852
